Найменування,Марка,Модель,Модифікація,Рік,Артикул,Тип электро-проводки,Горизонтальне навантаження,Вертикальне навантаження,Вага фаркопу,Знімання бамперу,Підрізання бамперу,"Роздрібна ціна, EUR",Категория,Схема 
Фаркоп Auto-Hak для автомобіля VOLVO XC 60 з 2008 L21,VOLVO,XC 60,5 двер.,з 2008,L21,модуль узгодження,2100,90,"15,9",так,так,130,фаркоп,https://i.postimg.cc/4N2L9PtB/L21.png
Фаркоп Auto-Hak для автомобіля VOLVO XC 70 Kombi 2000-2007 L25,VOLVO,XC 70,Kombi,2000-2007,L25,звичайна електрика,2000,75,"18,5",так,так,110,фаркоп,https://i.postimg.cc/jSW8Qf4K/l25.jpg
Фаркоп Auto-Hak для автомобіля VOLVO XC 90 з 2015 L28,VOLVO,XC 90,"SUV, також 4WD",з 2015,L28,модуль узгодження,2720,140,"17,2",так,так,150,фаркоп,https://i.postimg.cc/qMqkdkTq/L28.png
Фаркоп Auto-Hak для автомобіля MAZDA CX-7  з 2007 M58,MAZDA,CX-7,5 двер.,з 2007,M58,модуль узгодження,1900,85,"19,8",так,так,130,фаркоп,https://i.postimg.cc/2SP0H50W/M58.png
Фаркоп Auto-Hak для автомобіля MAZDA CX-9  2012-2015 M65,MAZDA,CX-9,,2012-2015,M65,модуль узгодження,1600,100,"20,4",так,ні,140,фаркоп,https://i.postimg.cc/44BJMYjj/M65.png
Фаркоп Auto-Hak для автомобіля MAZDA CX-3  з 2015 M68,MAZDA,CX-3,,з 2015,M68,модуль узгодження,1800,75,"16,3",ні,ні,140,фаркоп,https://i.postimg.cc/yxQsSGF7/M68.png
Фаркоп Auto-Hak для автомобіля MAZDA CX-5 з 2017 M69,MAZDA,CX-5,SUV,з 2017,M69,модуль узгодження,2100,100,21,так,ні,180,фаркоп,https://i.postimg.cc/nLDrfnqB/M69.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля TOYOTA LAND CRUISER кузов (**J200*-G**E*W) з 2007 O70A,TOYOTA,LAND CRUISER  V 8,кузов (**J200*-G**E*W),з 2007,O70A,модуль узгодження,3500,140,"12,7",так,так,160,фаркоп,https://i.postimg.cc/MGMMZ7Jc/O70A.png
Фаркоп Auto-Hak для автомобіля TOYOTA RAV-4  2005-2013 O75,TOYOTA,RAV-4,"5 двер., с запасним колесом, крім long ",2005-2013,O75,звичайна електрика,2000,75,"20,1",ні,ні,135,фаркоп,https://i.postimg.cc/3RZ9JFYj/o75.png
"Фаркоп Auto-Hak швидко-з'ємний для автомобіля LEXUS RX 350, RX 450H з 2009 O80V",LEXUS,"RX 350, RX 450H   ",5 двер.,з 2009,O80V,модуль узгодження,2100,85,26,так,так,310,фаркоп,https://i.postimg.cc/rsFjdRwB/o80V.png
"Фаркоп Auto-Hak для автомобіля LEXUS RX 300, 350, 400h2002-2009 O90",LEXUS,"RX 300, 350, 400h",5 двер.,2002-2009,O90,модуль узгодження,2000,90,24,так,так,170,фаркоп,https://i.postimg.cc/bvNgmFn7/O90.png
Фаркоп Auto-Hak для автомобіля TOYOTA RAV-4  2016-2018 O91,TOYOTA,RAV-4,,2016-2018,O91,модуль узгодження,2000,80,29,так,так,200,фаркоп,https://i.postimg.cc/tJLFyBY4/O91.png
"Фаркоп Auto-Hak для автомобіля TOYOTA HILUX  Pick up, 4 WD з 2016 O93",TOYOTA,HILUX ,"Pick up, 4 WD",з 2016,O93,модуль узгодження,3200,130,24,так,так,162,фаркоп,https://i.postimg.cc/QNbLtvb7/O93.png
Фаркоп Auto-Hak для автомобіля TOYOTA C-HR  з 2016 O94,TOYOTA,C-HR ,5 двер.,з 2016,O94,модуль узгодження,1500,80,19,ні,ні,140,фаркоп,https://i.postimg.cc/bw6Nts9Q/O94.png
Фаркоп Auto-Hak для автомобіля TOYOTA RAV-4  з 2018 O96,TOYOTA,RAV-4,,з 2018,O96,модуль узгодження,2000,80,24,так,так,199,фаркоп,https://i.postimg.cc/QNPt6B2S/O96.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля TOYOTA RAV-4  з 2018 O96V,TOYOTA,RAV-4,,з 2018,O96V,модуль узгодження,2000,80,24,так,так,348,фаркоп,https://i.postimg.cc/wTytH5XS/O96V.png
Фаркоп Auto-Hak для автомобіля PEUGEOT EXPERT  II з 2006 R40,PEUGEOT,EXPERT  II,фургон  ,з 2006,R40,модуль узгодження,2000,80,"20,6",так,ні,105,фаркоп,https://i.postimg.cc/Zn7c6Y9C/R40.png
Фаркоп Auto-Hak для автомобіля CITROEN JUMPER з 2006 R42,CITROEN,JUMPER         L4,фургон,з 2006,R42,модуль узгодження,3100,124,"24,4",так,ні,157,фаркоп,https://i.postimg.cc/RVhG4t8f/R42.png
Фаркоп Auto-Hak для автомобіля FIAT DUCATO з 2006 R42,FIAT,DUCATO          L4,фургон,з 2006,R42,модуль узгодження,3100,124,"24,4",так,ні,157,фаркоп,https://i.postimg.cc/RVhG4t8f/R42.png
Фаркоп Auto-Hak для автомобіля PEUGEOT BOXER з 2006 R42,PEUGEOT,BOXER          L4,фургон,з 2006,R42,модуль узгодження,3100,124,"24,4",так,ні,157,фаркоп,https://i.postimg.cc/RVhG4t8f/R42.png
Фаркоп Auto-Hak для автомобіля Fiat TIPO Kombi з 2017 R62,Fiat,TIPO,Kombi,з 2017,R62,модуль узгодження,1200,60,"17,4",так,так,130,фаркоп,https://i.postimg.cc/TYFDWN2d/R62.png
Фаркоп Auto-Hak для автомобіля SUBARU FORESTER 2008-2013 SU45,SUBARU,FORESTER,5 двер.,2008-2013,SU45,модуль узгодження,2000,80,"17,6",так,так,117,фаркоп,https://i.postimg.cc/RVYdFF5Y/SU45.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля SUBARU FORESTER 2008-2013 SU45A,SUBARU,FORESTER,5 двер.,2008-2013,SU45A,модуль узгодження,2000,80,"18,6",так,так,160,фаркоп,https://i.postimg.cc/SshLYTr2/Su45A.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля SUBARU OUTBACK Kombi 2009-2013 SU46A,SUBARU,OUTBACK,Kombi,2009-2013,SU46A,звичайна електрика,2000,85,"17,9",так,так,159,фаркоп,https://i.postimg.cc/pdfJqJhN/SU46A.png
Фаркоп Auto-Hak для автомобіля SUBARU FORESTER  з 2013 SU48,SUBARU,FORESTER,,з 2013,SU48,модуль узгодження,2150,90,"21,3",так,так,165,фаркоп,https://i.postimg.cc/0QRnd28N/Su48.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля SUBARU FORESTER     з 2013 SU48V,SUBARU,FORESTER   ,,з 2013,SU48V,модуль узгодження,2150,90,"22,3",так,так,310,фаркоп,https://i.postimg.cc/ydcfw3f9/Su48V.png
Фаркоп Auto-Hak для автомобіля SUBARU OUTBACK  з 2015 SU49,SUBARU,OUTBACK,,з 2015,SU49,модуль узгодження,2000,90,21,так,так,149,фаркоп,https://i.postimg.cc/Jzz2GnnV/Su49.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля SUBARU OUTBACK  з 2015 SU49A,SUBARU,OUTBACK,,з 2015,SU49A,модуль узгодження,2000,90,21,так,так,188,фаркоп,https://i.postimg.cc/cJ625HyM/Su49A.png
Фаркоп Auto-Hak для автомобіля KIA SORENTO 2002- 2006 T41,KIA,SORENTO,5 двер.,2002- 2006,T41,звичайна електрика,2800,112,"22,1",так,так,100,фаркоп,https://i.postimg.cc/gJ4qPcHN/T41.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля HYUNDAI TUCSON 2004-2015 T45A,HYUNDAI,TUCSON,5 двер.,2004-2015,T45A,звичайна електрика,2200,90,"26,1",ні,так,184,фаркоп,https://i.postimg.cc/TP4MRbq4/T45A.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля KIA SPORTAGE    KM (JE) 2004-2010 T45A,KIA,SPORTAGE   ,KM (JE),2004-2010,T45A,звичайна електрика,2200,90,"26,1",ні,так,184,фаркоп,https://i.postimg.cc/TP4MRbq4/T45A.png
Фаркоп Auto-Hak для автомобіля KIA SORENTO 5 двер. 2006-2009 T51,KIA,SORENTO,5 двер.,2006-2009,T51,звичайна електрика,3500,140,"24,6",так,так,110,фаркоп,https://i.postimg.cc/jqgQg55j/T51.png
Фаркоп Auto-Hak для автомобіля KIA CEED з 2012 T65,KIA,CEE'D,3/5 двер.,з 2012,T65,модуль узгодження,1500,80,"17,1",ні,так,85,фаркоп,https://i.postimg.cc/nLRZCgZT/T65.png
Фаркоп Auto-Hak для автомобіля KIA RIO  з 2013 T68,KIA,R I O,4 двер. Европейска збірка,з 2013,T68,звичайна електрика,1200,75,"15,7",ні,ні,81,фаркоп,https://i.postimg.cc/26KJDfmR/T68.png
Фаркоп Auto-Hak для автомобіля KIA SORENTO   з 2015 T71,KIA,SORENTO ,,з 2015,T71,модуль узгодження,2500,100,25,так,так,165,фаркоп,https://i.postimg.cc/QdG2Cs7j/T71.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля KIA SORENTO   з 2015 T71A,KIA,SORENTO ,,з 2015,T71A,модуль узгодження,2500,100,25,так,так,200,фаркоп,https://i.postimg.cc/q7LVWYz4/T71A.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля KIA SPORTAGE     2016-2018 T72A,KIA,SPORTAGE   ,,2016-2018,T72A,модуль узгодження,2200,90,23,ні,ні,205,фаркоп,https://i.postimg.cc/XJj3JWTr/T72A.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля KIA SPORTAGE     2016-2018 T72V,KIA,SPORTAGE   ,,2016-2018,T72V,модуль узгодження,2200,90,"24,4",ні,ні,300,фаркоп,https://i.postimg.cc/tJm9wcvY/T72V.png
Фаркоп Auto-Hak для автомобіля KIA NIRO з 2016 T74,KIA,NIRO,"5 doors, Hybrid, тільки для TYPE: C5P11/D61AY1, C5P11/D61BY1",з 2016,T74,модуль узгодження,1300,100,18,так,ні,147,фаркоп,https://i.postimg.cc/4xH3kJgZ/T74.png
Фаркоп Auto-Hak для автомобіляKIA STONIC  з 2017 T77,KIA,STONIC,,з 2017,T77,модуль узгодження,1110,75,"16,4",так,ні,153,фаркоп,https://i.postimg.cc/GtbBd6jK/T77.png
Фаркоп Auto-Hak для автомобіля KIA SPORTAGE     з 2018 T78,KIA,SPORTAGE   ,,з 2018,T78,модуль узгодження,2200,100,"22,9",ні,ні,165,фаркоп,https://i.postimg.cc/VkZX4sF8/T78.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля KIA SPORTAGE з 2018 T78V,KIA,SPORTAGE   ,,з 2018,T78V,модуль узгодження,2200,100,25,ні,ні,290,фаркоп,https://i.postimg.cc/L8x3732G/T78V.png
Фаркоп Auto-Hak для автомобіля NISSAN X-TRAIL кузов (T31) з 2007 V67,NISSAN,X-TRAIL,кузов (T31),з 2007,V67,звичайна електрика,2200,100,"19,6",так,так,160,фаркоп,https://i.postimg.cc/Gh6PR5vw/V67.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля NISSAN X-TRAIL  2014-2017 V76A,NISSAN,X-TRAIL,,2014-2017,V76A,модуль узгодження,2200,110,"24,4",так,так,240,фаркоп,https://i.postimg.cc/FHpTvQgW/V76A.png
Фаркоп Auto-Hak для автомобіля NISSAN NAVARA PICKUP NP300 з 2016 V77,NISSAN,NAVARA,PICKUP NP300,з 2016,V77,модуль узгодження,3500,140,"22,2",ні,ні,141,фаркоп,https://i.postimg.cc/Kzw9Wrrm/V77.png
Фаркоп Auto-Hak для автомобіля SUZUKI JIMNY з 1998 W16,SUZUKI,JIMNY,3/5 двер.,з 1998,W16,звичайна електрика,1300,75,"15,2",так,ні,120,фаркоп,https://i.postimg.cc/HxWX3D15/W16.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля SUZUKI GRAND  VITARA з 2005 W23A,SUZUKI,GRAND  VITARA,5 двер.,з 2005,W23A,звичайна електрика,2000,85,"22,5",ні,так,185,фаркоп,https://i.postimg.cc/J0vX1sDc/W23A.jpg
Фаркоп Auto-Hak для автомобіля SUZUKI SX 4 S-CROSS  з 2013 W30,SUZUKI,SX 4 S-CROSS,,з 2013,W30,звичайна електрика,1500,75,"17,5",так,ні,141,фаркоп,https://i.postimg.cc/BtWxTm51/W30.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля SUZUKI SX 4 S-CROSS  з 2013 W30V,SUZUKI,SX 4 S-CROSS,,з 2013,W30V,звичайна електрика,1500,75,"18,5",так,ні,250,фаркоп,https://i.postimg.cc/SKmf11B6/W30V.png
Фаркоп Auto-Hak для автомобіля SUZUKI VITARA з 2015 W31,SUZUKI,VITARA,5 двер.,з 2015,W31,модуль узгодження,1500,75,"17,5",так,так,149,фаркоп,https://i.postimg.cc/WbQ98np8/W31.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля SUZUKI VITARA з 2015 W31V,SUZUKI,VITARA,5 двер.,з 2015,W31V,модуль узгодження,1500,75,"17,5",так,так,275,фаркоп,https://i.postimg.cc/mgHnWnpK/W31V.png
Фаркоп Auto-Hak для автомобіля HONDA CR-V  2012-2018 Y39,HONDA,CR-V,5 двер.,2012-2018,Y39,модуль узгодження,2000,75,"16,5",так,так,120,фаркоп,https://i.postimg.cc/WzYyscvc/Y39.png
Фаркоп Auto-Hak для автомобіля MITSUBISHI PAJERO / MONTERO  Кузов (V 80/V 90) з 2007 Z37,MITSUBISHI,PAJERO / MONTERO,5 двер.  Кузов (V 80/V 90),з 2007,Z37,звичайна електрика,3300,135,"25,7",ні,ні,175,фаркоп,https://i.postimg.cc/kgxSmXnK/Z37.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля CITROEN C-CROSSER з 2007 Z38A,CITROEN,C-CROSSER ,5 двер.,з 2007,Z38A,модуль узгодження,2000,100,"23,5",ні,так,188,фаркоп,https://i.postimg.cc/bw4jQb4f/Z38A.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля MITSUBISHI OUTLANDER з 2007 Z38A,MITSUBISHI,OUTLANDER,5 двер.  ,з 2007,Z38A,модуль узгодження,2000,100,"23,5",ні,так,188,фаркоп,https://i.postimg.cc/bw4jQb4f/Z38A.png
Фаркоп Auto-Hak швидко-з'ємний для автомобіля PEUGEOT 4007 з 2007 Z38A,PEUGEOT,4007,5 двер.,з 2007,Z38A,модуль узгодження,2000,100,"23,5",ні,так,188,фаркоп,https://i.postimg.cc/bw4jQb4f/Z38A.png
Фаркоп Auto-Hak для автомобіля MITSUBISHI OUTLANDER з 2012 Z42,MITSUBISHI,OUTLANDER,5 двер.  ,з 2012,Z42,модуль узгодження,2000,100,"21,7",так,так,141,фаркоп,https://i.postimg.cc/T31RjTwg/Z42.png
